button_pressed power temp fan  powerful mode eco silent info sleep vswing hswing clean leavehome nbits nbytes bitstring
power          on    24   auto off      auto off off    off  off   on     off    off    off      352   44     1000000000001000000011000000001011111101100000000111111101001000010010001100000001000000000011000000000010000000111000000110000000000000000000010000000000000000000000000000000000000000000000011000000000000000000000001110100110000000000010000000110000000010111111010000100011110111010001000110000011001000100100001100000010100000010110000100000011101001
power          off   24   auto off      auto off off    off  off   on     off    off    off      352   44     1000000000001000000011000000001011111101100000000111111101001000010010001100000001000000000011000000000010000000111000000110000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000001110100010000000000010000000110000000010111111010000100011110111010001000110000011001000100100001100000010100000001110000100000010101001
power          on    24   auto off      auto off off    off  off   off    off    off    off      352   44     1000000000001000000011000000001011111101100000000111111101001000010010001100000001000000000011000000000010000000011000000110000000000000000000010000000000000000000000000000000000000000000000011000000000000000000000000001100110000000000010000000110000000010111111010000100011110111010001000110000011001000100100001100000010100000011001000100000011010001
# time 5:39 schedulled sleep at 6:39
sleep          on    24   auto off      auto off off    1h   off   off    off    off    off      352   44     1000000000001000000011000000001011111101100000000111111101001000010010001000100001000000000011000000000010000000011000000110000000000000000000010011110000000000000000000000000000000000000000011000000000000000000000000111001010000000000010000000110000000010111111010000100011110111010001000110000011001000100100001100000010100000011001000100000011010001
# time 5:39 schedulled sleep at 7:39
sleep          on    24   auto off      auto off off    2h   off   off    off    off    off      352   44     1000000000001000000011000000001011111101100000000111111101001000010010001000100001000000000011000000000010000000011000000110000000000000000000010001111000000000000000000000000000000000000000011000000000000000000000000100100010000000000010000000110000000010111111010000100011110111010001000110000011001000100100001100000010100000111001000100000001010001
# time 5:41 schedulled sleep at 8:41
sleep          on    24   auto off      auto off off    3h   off   off    off    off    off      352   44     1000000000001000000011000000001011111101100000000111111101001000010010001000100001000000000011000000000010000000011000000110000000000000000000010010110100000000000000000000000000000000000000011000000000000000000000000110101110000000000010000000110000000010111111010000100011110111010001000110000011001000100100001100000010100000100101000100000000010001
# time 5:42 schedulled sleep at 12:42
sleep          on    24   auto off      auto off off    7h   off   off    off    off    off      352   44     1000000000001000000011000000001011111101100000000111111101001000010010001000100001000000000011000000000010000000011000000110000000000000000000010010010110000000000000000000000000000000000000011000000000000000000000001010011110000000000010000000110000000010111111010000100011110111010001000110000011001000100100001100000010100000010101000100000011100001
sleep          on    24   auto off      auto off off    off  off   off    off    off    off      352   44     1000000000001000000011000000001011111101100000000111111101001000010010001000100001000000000011000000000010000000011000000110000000000000000000010000000000000000000000000000000000000000000000011000000000000000000000000101000110000000000010000000110000000010111111010000100011110111010001000110000011001000100100001100000010100000001101000100000010100001
leavehome      on    10   auto off      heat off off    off  off   off    off    off    on       352   44     1000000000001000000011000000001011111101100000000111111101001000010010000100100010001000001010000000000010000000011000000110000000000000000000010000000010000000000000000000000000000000000000011000000000000000000000001010100110000000000010000000110000000010111111010000100011110111010001000110000011001000100100001100000010100000101101000100000000100001
power          off   10   auto off      heat off off    off  off   off    off    off    on       352   44     1000000000001000000011000000001011111101100000000111111101001000010010001100000001000000000011000000000010000000011000000110000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000001100010000000000010000000110000000010111111010000100011110111010001000110000011001000100100001100000010100000111101000100000001000001
clean          on    CL   auto off      heat off off    off  off   off    off    off    on       224   28     10000000000010000000110000000010111111011000000001111111100010000100100010000100010000000000110000000000100000000110000001100000000000000000000100000000000000000000000000000000000000000000000110000000000000000000000011011110
info           on    16   auto off      auto off off    off  off   on     on     off    off      168   21     100000000000100000001100000000101111110101000000101111111000100011010000110000000100000000000100000000001000000011100000111000000000000000000001010000001111111101110100
